Image Points (x, y):
653.6731567382812, 562.444091796875
627.607666015625, 560.6945190429688
548.12646484375, 554.9320068359375
655.0855712890625, 536.8764038085938
629.0946044921875, 534.5471801757812
603.3043212890625, 532.8875732421875
576.7776489257812, 530.4172973632812
550.67724609375, 528.9835815429688
656.3267822265625, 510.9989929199219
630.71337890625, 509.4346618652344
604.9502563476562, 507.1868591308594
579.1815795898438, 505.2145080566406
552.9548950195312, 503.0614318847656
473.8780822753906, 498.12274169921875
448.65936279296875, 495.530517578125
657.9810180664062, 485.9864807128906
632.6441650390625, 484.0855407714844
607.0488891601562, 482.0906066894531
581.0758666992188, 480.0594482421875
555.6027221679688, 478.29583740234375
477.683349609375, 472.07281494140625
659.0555419921875, 461.7359924316406
633.9583129882812, 459.93060302734375
608.82275390625, 457.43585205078125
532.3286743164062, 451.587158203125
506.32452392578125, 449.5367431640625
660.7501831054688, 437.5155334472656
635.7534790039062, 435.39666748046875
610.44091796875, 434.0809326171875
534.4882202148438, 427.2861633300781
509.00970458984375, 425.9283752441406
654.2365112304688, 561.6212158203125
628.079833984375, 559.9977416992188
548.591552734375, 554.0863647460938
655.6554565429688, 535.8633422851562
629.5667724609375, 533.7548828125
603.8953247070312, 531.9526977539062
577.4287719726562, 529.974609375
551.1695556640625, 528.1510009765625
656.9026489257812, 510.24664306640625
631.1256713867188, 508.70074462890625
605.45703125, 506.6135559082031
579.5780029296875, 504.69952392578125
553.4136962890625, 502.40606689453125
474.98992919921875, 497.11175537109375
658.4180297851562, 485.32794189453125
633.0158081054688, 483.57586669921875
607.578125, 481.4575500488281
581.5997924804688, 479.4343566894531
555.9086303710938, 477.8375549316406
478.045166015625, 471.8111267089844
452.4465637207031, 469.9457092285156
659.5452880859375, 460.8813781738281
634.597900390625, 458.9210510253906
609.0531616210938, 457.0068664550781
583.7512817382812, 455.1195068359375
558.04296875, 453.01251220703125
481.22088623046875, 447.4031677246094
455.5904541015625, 445.1290283203125
660.8506469726562, 436.8965148925781
635.8886108398438, 434.80474853515625
610.4464111328125, 432.9615173339844
585.87255859375, 431.1925354003906
560.3194580078125, 429.0778503417969
484.0328369140625, 423.2032470703125
458.74969482421875, 421.42437744140625
658.257568359375, 561.4002075195312
632.255859375, 560.1771850585938
552.9529418945312, 555.4140625
659.600341796875, 535.6790771484375
633.3795776367188, 533.982666015625
607.6072998046875, 532.750732421875
581.2059326171875, 531.0247192382812
555.1211547851562, 529.7904052734375
476.3034362792969, 524.9619750976562
660.2498779296875, 509.99163818359375
634.9613037109375, 508.63983154296875
608.8935546875, 507.1114196777344
583.2488403320312, 505.5918273925781
557.0263671875, 504.0016174316406
531.2772827148438, 502.6026611328125
505.0504455566406, 501.0315246582031
479.1658020019531, 499.7559814453125
661.82080078125, 484.7345886230469
636.069580078125, 483.4054870605469
610.53271484375, 482.2181701660156
584.80078125, 480.4282531738281
559.2509765625, 479.1274108886719
533.1810302734375, 477.47784423828125
507.7936706542969, 476.0864562988281
481.7604064941406, 474.69659423828125
456.2084045410156, 473.2081298828125
662.31591796875, 460.58404541015625
586.4611206054688, 456.3929443359375
561.0784301757812, 454.4624328613281
535.9449462890625, 452.9006652832031
509.8659973144531, 451.5635986328125
484.5027160644531, 450.1396789550781
458.76409912109375, 448.56243896484375
663.3897705078125, 436.54840087890625
588.2306518554688, 432.22430419921875
562.9412841796875, 430.67816162109375
537.6336669921875, 429.0235900878906
512.356689453125, 427.98809814453125
486.8309631347656, 426.03558349609375
461.92144775390625, 425.0378112792969
658.235595703125, 560.9775390625
632.1765747070312, 559.6334838867188
552.8543090820312, 555.0213623046875
659.4638061523438, 535.091064453125
633.2061767578125, 533.437255859375
607.6881103515625, 531.920654296875
581.0678100585938, 530.4519653320312
554.8370361328125, 529.3087768554688
476.2161560058594, 524.7424926757812
450.140380859375, 522.6556396484375
660.4657592773438, 509.4772033691406
634.904541015625, 508.0838928222656
608.889892578125, 506.6264953613281
583.0701904296875, 505.1025085449219
557.044921875, 503.70330810546875
479.0515441894531, 499.6379699707031
453.1650695800781, 497.733642578125
661.6127319335938, 484.38018798828125
636.1048583984375, 482.9841003417969
610.6376342773438, 481.64422607421875
584.827880859375, 480.14874267578125
559.2435302734375, 478.81195068359375
481.9097595214844, 474.09423828125
456.4936218261719, 472.9826354980469
662.5454711914062, 460.00494384765625
637.357177734375, 458.7952880859375
611.9971313476562, 457.10162353515625
586.4157104492188, 455.9907531738281
561.0465698242188, 454.0859375
535.9595947265625, 452.7225646972656
509.8966979980469, 451.0906066894531
484.7111511230469, 450.09783935546875
459.1310729980469, 448.26947021484375
663.7702026367188, 435.91949462890625
638.606689453125, 434.4022521972656
613.1561889648438, 433.2164001464844
588.452880859375, 432.021728515625
563.1543579101562, 430.1700134277344
537.9392700195312, 428.92803955078125
512.6992797851562, 427.5767822265625
487.4766845703125, 426.0403137207031
462.1246643066406, 425.01336669921875
646.4948120117188, 556.7908325195312
620.1661376953125, 554.4342041015625
541.2859497070312, 546.808837890625
515.42431640625, 543.9156494140625
649.2572021484375, 531.2286987304688
622.9627075195312, 528.4995727539062
597.2008056640625, 526.206787109375
570.7607421875, 523.613525390625
493.0993347167969, 516.0689697265625
651.8203735351562, 505.9724426269531
625.9682006835938, 503.7144775390625
600.145263671875, 501.20819091796875
574.2886352539062, 498.6713562011719
471.7625427246094, 489.4358825683594
446.381103515625, 486.5054626464844
654.2564086914062, 481.3204040527344
628.7568969726562, 478.8503723144531
603.3618774414062, 476.6672058105469
577.6079711914062, 474.09356689453125
552.3504028320312, 472.0479431152344
476.5833435058594, 464.9405212402344
451.5854187011719, 463.0830993652344
656.8207397460938, 457.2486877441406
631.6695556640625, 455.0716247558594
606.2698364257812, 452.7239685058594
480.68060302734375, 441.8338623046875
455.9149169921875, 438.9486389160156
659.2154541015625, 433.7074890136719
634.0803833007812, 431.38861083984375
484.9101257324219, 418.20379638671875
460.6331787109375, 416.3700256347656
643.816650390625, 558.1914672851562
617.2622680664062, 554.9834594726562
538.7669677734375, 543.8964233398438
512.6116943359375, 540.2376708984375
485.3598327636719, 536.2356567382812
459.7554016113281, 532.7374877929688
647.1659545898438, 532.8301391601562
621.0325927734375, 529.0046997070312
595.5371704101562, 525.513427734375
568.8549194335938, 521.5784912109375
543.1974487304688, 518.1455688476562
516.9425048828125, 514.2859497070312
490.47528076171875, 511.14605712890625
464.6905517578125, 507.2244567871094
650.140625, 507.5338134765625
624.5618286132812, 504.0788269042969
598.8728637695312, 500.4928283691406
573.1865844726562, 496.96783447265625
547.3863525390625, 493.3021545410156
521.7216186523438, 489.9866943359375
495.41937255859375, 486.17132568359375
653.4612426757812, 483.1064147949219
627.8489990234375, 479.40948486328125
602.8291625976562, 476.0498046875
576.8801879882812, 472.2880859375
551.5125732421875, 469.2586669921875
526.1663818359375, 465.4366760253906
500.33380126953125, 462.1976623535156
656.7566528320312, 459.2594909667969
631.6611938476562, 455.70220947265625
606.3226928710938, 452.3008728027344
581.121337890625, 448.8650207519531
555.88134765625, 445.2742614746094
480.2463073730469, 435.2693786621094
454.991455078125, 431.62127685546875
659.4058227539062, 436.0329895019531
634.7645263671875, 432.275634765625
609.7431640625, 429.1326904296875
584.3502807617188, 424.9794006347656
559.9638671875, 422.1819763183594
485.00689697265625, 411.9043884277344
637.71044921875, 563.9007568359375
611.8421020507812, 558.7815551757812
534.1419067382812, 542.7420654296875
455.3007507324219, 527.072021484375
429.0299377441406, 521.1070556640625
642.182373046875, 538.5712890625
616.717041015625, 533.3134765625
591.6630249023438, 528.03662109375
565.440185546875, 522.6785888671875
539.880615234375, 518.0
461.80120849609375, 501.3784484863281
646.5354614257812, 513.7969360351562
621.2010498046875, 508.64453125
596.0408935546875, 503.0843811035156
570.8070068359375, 498.029541015625
545.12939453125, 492.48260498046875
519.8001708984375, 487.5870361328125
493.65679931640625, 481.94775390625
650.8867797851562, 489.21514892578125
625.5801391601562, 483.87115478515625
601.2564697265625, 478.818603515625
575.839111328125, 473.4879455566406
550.7401733398438, 468.351806640625
525.4842529296875, 463.04913330078125
499.37225341796875, 458.0987548828125
655.0054931640625, 465.3385925292969
580.9954833984375, 449.82586669921875
556.086181640625, 444.4566650390625
480.269287109375, 429.0075988769531
454.90606689453125, 423.50457763671875
659.121826171875, 442.1159973144531
585.51513671875, 425.9820251464844
561.05126953125, 421.24468994140625
486.0770568847656, 405.0791015625
534.9663696289062, 544.885498046875
509.2431335449219, 538.247802734375
640.6453247070312, 545.0875854492188
615.9273071289062, 538.73876953125
591.71728515625, 532.3899536132812
566.4072265625, 525.8842163085938
541.3494873046875, 519.4186401367188
515.7316284179688, 512.6092529296875
489.4439392089844, 505.9595031738281
645.72119140625, 520.4786376953125
621.346923828125, 514.0342407226562
596.944091796875, 507.4281311035156
572.2804565429688, 500.90814208984375
547.3480834960938, 494.2432556152344
522.004638671875, 487.84234619140625
496.0027160644531, 480.7198791503906
470.1580505371094, 474.41064453125
650.8099365234375, 496.0518493652344
626.7775268554688, 489.71783447265625
602.7908935546875, 483.1443176269531
577.9537963867188, 476.25628662109375
553.4548950195312, 469.9845275878906
528.3219604492188, 462.9260559082031
502.70794677734375, 456.3859558105469
477.2994384765625, 449.2082824707031
451.500244140625, 442.7605285644531
655.4017944335938, 471.9317932128906
632.0585327148438, 465.8377685546875
608.1173095703125, 459.0635681152344
534.4415283203125, 439.11602783203125
509.51165771484375, 431.9241943359375
484.0639343261719, 425.3950500488281
458.6271667480469, 418.2171936035156
660.5450439453125, 449.068115234375
637.1619262695312, 442.1735534667969
613.4464111328125, 436.1118469238281
540.6138305664062, 415.4278869628906
515.7154541015625, 409.013671875
490.8016357421875, 401.4315490722656
465.7067565917969, 394.8826904296875
644.6138916015625, 572.4662475585938
620.8527221679688, 566.1185302734375
546.97607421875, 546.25
521.368896484375, 539.2186279296875
495.14031982421875, 532.0676879882812
468.42303466796875, 525.1484375
441.37530517578125, 517.57275390625
649.2078857421875, 547.3316650390625
625.6972045898438, 540.6522827148438
601.9847412109375, 534.1755981445312
577.3549194335938, 527.0978393554688
552.5399780273438, 520.3824462890625
527.14794921875, 513.142822265625
501.6833190917969, 506.1629638671875
474.9373474121094, 498.571044921875
448.33270263671875, 491.6656188964844
653.4683837890625, 522.48779296875
630.3361206054688, 516.0900268554688
606.572998046875, 508.7588806152344
582.6763916015625, 502.1202392578125
558.0571899414062, 494.8675231933594
532.9835815429688, 487.9395446777344
507.73187255859375, 480.5931701660156
481.70703125, 473.32891845703125
455.3123474121094, 465.306640625
658.0032348632812, 498.3229064941406
635.0308227539062, 491.3008117675781
611.7898559570312, 484.6977233886719
587.9078979492188, 477.3572998046875
563.6507568359375, 470.4395446777344
538.7194213867188, 462.8011169433594
513.5482177734375, 455.75048828125
488.1011657714844, 447.55902099609375
662.0742797851562, 474.4990234375
639.7266235351562, 467.8993835449219
616.0384521484375, 460.1444091796875
592.8050537109375, 453.83477783203125
569.5097045898438, 446.8156433105469
544.5416259765625, 438.84576416015625
519.7813110351562, 431.00750732421875
494.68280029296875, 423.76104736328125
666.3070678710938, 451.7665710449219
643.9252319335938, 444.0840148925781
621.138427734375, 437.34600830078125
598.1443481445312, 430.0569763183594
574.3756103515625, 422.4742431640625
550.3565063476562, 415.1470031738281
526.0513916015625, 407.4965515136719
500.76507568359375, 399.21295166015625
475.250244140625, 391.7919616699219
659.364501953125, 573.230224609375
637.217041015625, 567.8168334960938
565.4188842773438, 549.097412109375
540.5857543945312, 542.8571166992188
514.911865234375, 535.8391723632812
487.8957824707031, 529.0484619140625
461.20672607421875, 521.76513671875
662.795166015625, 548.2547607421875
640.0543823242188, 541.85205078125
617.137939453125, 535.96728515625
593.9732666015625, 529.2512817382812
569.8391723632812, 522.9644165039062
